Subsample Rate,Model,Mean R²,Std R²
1.0,ANN,0.8905996139481589,0.006600301283725662
0.5,ANN,0.8494031974515783,0.020287389656823265
0.25,ANN,0.7487973940972881,0.04879793663281747
0.1,ANN,0.5391176525108141,0.06430096766312914
0.05,ANN,0.31482856776732904,0.074483637196559
1.0,KAN,0.9752388047817704,0.002190852831687621
0.5,KAN,0.9483300687619218,0.006914147231099565
0.25,KAN,0.892765747241385,0.011630697470660773
0.1,KAN,0.6796271403968214,0.060057845623737
0.05,KAN,0.3597929470227835,0.10112521051860136
